drug_id,generic_name,brand_name,dosage_form,strength,package_size,manufacturer,price_usd,category,is_otc,atc_code,image_url,stock_qty,reorder_level,weight_g,length_cm,width_cm,height_cm,expiry_date,avg_rating,num_reviews
1,Umeko,Lehner LLC,cream,50mg,30 pcs,Lehner LLC,121.13,antidepressant,True,DYX5K7,http://placeimg.com/640/480/any,172,124,490,12.3,11.2,4.2,2026-01-04,4.3,357
2,Ebuhi,Little PLC,tablet,100mg,60 pcs,Little PLC,156.68,analgesic,True,PRH9G4,http://placeimg.com/640/480/any,47,110,243,11.6,9.3,3.1,2026-06-11,4.5,63
3,Roqo,Halvorson PLC,drop,20mg,100 pcs,Halvorson PLC,20.43,antidiabetic,False,UPI3J8,http://placeimg.com/640/480/any,243,109,506,8.5,12.1,3.7,2026-05-15,3.8,196
4,Mokebt,McDermott,tablet,10mg,20 pcs,McDermott,152.21,antibiotic,True,KEQ1Y3,http://placeimg.com/640/480/any,387,82,377,6.4,7.8,4.7,2025-12-30,4.9,475
5,Nucuz,Walsh PLC,inhaler,5mg,10 pcs,Walsh PLC,60.40,antihypertensive,False,RCK4H9,http://placeimg.com/640/480/any,395,97,253,14.9,14.3,2.5,2025-11-14,3.2,371
6,Tizhin,Kemmer and Sons,cream,20mg,30 pcs,Kemmer and Sons,128.00,analgesic,True,AXL2T2,http://placeimg.com/640/480/any,32,176,364,8.7,11.4,1.3,2026-04-07,3.4,36
7,Sobmu,Schimmel LLC,capsule,50mg,100 pcs,Schimmel LLC,153.14,antidepressant,True,ZOI9C1,http://placeimg.com/640/480/any,268,169,423,13.1,8.5,1.1,2026-02-26,4.8,457
8,Oluxi,Spencer LLC,syrup,100mg,30 pcs,Spencer LLC,151.31,antihypertensive,False,RTF7D5,http://placeimg.com/640/480/any,203,145,231,14.8,14.7,3.8,2026-01-09,4.0,179
9,Wixqa,Bosco PLC,capsule,5mg,20 pcs,Bosco PLC,25.15,antibiotic,True,HPV3V2,http://placeimg.com/640/480/any,397,166,356,5.2,12.0,4.3,2025-10-25,3.9,450
10,Edqiy,Hoeger Inc,drop,20mg,60 pcs,Hoeger Inc,167.59,antidiabetic,False,YPD8S6,http://placeimg.com/640/480/any,92,103,374,14.9,9.1,3.3,2026-07-14,3.6,326
